Date,WMO name,maxTemp,rainSum,maxWindSpeed,snowFallSum
2024-01-01,drizzle: light,13.80,0.70,13.20,0.00
2024-01-02,overcast,13.40,0.00,4.10,0.00
2024-01-03,drizzle: light,13.20,0.10,19.10,0.00
2024-01-04,overcast,13.10,0.00,14.90,0.00
2024-01-05,overcast,13.20,0.00,7.40,0.00
2024-01-06,drizzle: light,14.30,0.50,28.80,0.00
2024-01-07,rain: moderate,14.20,6.70,38.50,0.00
2024-01-08,overcast,12.30,0.00,19.60,0.00
2024-01-09,rain: slight,9.00,6.40,32.40,0.00
2024-01-10,drizzle: light,6.50,0.40,10.30,0.00
2024-01-11,overcast,6.40,0.00,8.90,0.00
2024-01-12,rain: slight,7.50,11.10,10.40,0.00
2024-01-13,overcast,5.90,0.00,12.20,0.00
2024-01-14,partly cloudy,6.20,0.00,14.80,0.00
2024-01-15,drizzle: light,10.10,0.80,20.10,0.00
2024-01-16,drizzle: light,12.60,0.10,12.60,0.00
2024-01-17,overcast,12.70,0.00,11.50,0.00
2024-01-18,overcast,14.50,0.00,18.50,0.00
2024-01-19,overcast,15.50,0.00,10.00,0.00
2024-01-20,drizzle: light,14.70,0.30,16.30,0.00
2024-01-21,drizzle: light,8.30,0.10,23.90,0.00
2024-01-22,overcast,6.90,0.00,22.60,0.00
2024-01-23,overcast,7.50,0.00,10.40,0.00
2024-01-24,overcast,7.10,0.00,16.60,0.00
2024-01-25,overcast,7.40,0.00,9.30,0.00
2024-01-26,clear sky,8.90,0.00,17.10,0.00
2024-01-27,overcast,8.20,0.00,10.60,0.00
2024-01-28,drizzle: light,6.90,0.60,18.00,0.00
2024-01-29,drizzle: light,5.20,1.20,14.10,0.00
2024-01-30,drizzle: moderate,4.60,4.50,26.00,0.00
2024-01-31,drizzle: light,6.00,0.60,19.20,0.00
2024-02-01,overcast,6.70,0.00,10.30,0.00
2024-02-02,overcast,7.50,0.00,12.40,0.00
2024-02-03,overcast,8.20,0.00,11.30,0.00
2024-02-04,overcast,10.90,0.00,13.70,0.00
2024-02-05,mainly clear,13.70,0.00,12.70,0.00
2024-02-06,clear sky,13.40,0.00,10.20,0.00
2024-02-07,overcast,13.70,0.00,14.80,0.00
2024-02-08,overcast,13.80,0.00,14.40,0.00
2024-02-09,clear sky,13.20,0.00,12.50,0.00
2024-02-10,overcast,13.90,0.00,17.10,0.00
2024-02-11,drizzle: dense intensity,15.40,1.90,25.30,0.00
2024-02-12,rain: moderate,13.60,18.00,34.20,0.00
2024-02-13,rain: moderate,11.50,2.90,8.50,0.00
2024-02-14,drizzle: light,10.00,0.10,21.30,0.00
2024-02-15,rain: slight,9.20,2.60,17.30,0.00
2024-02-16,drizzle: light,9.80,0.30,11.50,0.00
2024-02-17,overcast,10.00,0.00,16.20,0.00
2024-02-18,mainly clear,9.90,0.00,11.20,0.00
2024-02-19,drizzle: light,9.80,0.20,12.50,0.00
2024-02-20,drizzle: moderate,10.20,0.60,11.50,0.00
2024-02-21,drizzle: moderate,9.40,2.00,11.80,0.00
2024-02-22,drizzle: moderate,11.50,1.20,10.20,0.00
2024-02-23,partly cloudy,13.10,0.00,9.80,0.00
2024-02-24,overcast,14.30,0.00,16.90,0.00
2024-02-25,overcast,15.00,0.00,18.20,0.00
2024-02-26,rain: moderate,13.20,14.70,20.80,0.00
2024-02-27,drizzle: light,14.10,0.70,11.50,0.00
2024-02-28,drizzle: light,14.70,2.20,16.50,0.00
2024-02-29,drizzle: light,15.30,1.40,21.50,0.00
2024-03-01,rain: moderate,13.70,25.90,19.70,0.00
2024-03-02,drizzle: moderate,11.90,0.50,10.50,0.00
2024-03-03,overcast,13.40,0.00,8.70,0.00
2024-03-04,overcast,14.20,0.00,16.60,0.00
2024-03-05,rain: moderate,12.10,10.60,18.80,0.00
2024-03-06,drizzle: light,12.30,0.10,14.10,0.00
2024-03-07,drizzle: light,12.90,0.10,9.90,0.00
2024-03-08,overcast,11.40,0.00,12.70,0.00
2024-03-09,drizzle: light,11.10,0.30,11.30,0.00
2024-03-10,drizzle: light,12.70,0.70,12.60,0.00
2024-03-11,overcast,14.10,0.00,20.10,0.00
2024-03-12,rain: moderate,14.60,5.30,18.20,0.00
2024-03-13,drizzle: light,12.20,0.10,16.10,0.00
2024-03-14,drizzle: moderate,12.90,1.10,13.00,0.00
2024-03-15,drizzle: light,12.50,0.60,9.40,0.00
2024-03-16,drizzle: light,13.30,0.40,10.80,0.00
2024-03-17,rain: moderate,11.90,3.70,9.20,0.00
2024-03-18,drizzle: moderate,13.00,0.90,11.00,0.00
2024-03-19,rain: slight,13.50,2.90,16.10,0.00
2024-03-20,drizzle: moderate,10.90,2.50,17.30,0.00
2024-03-21,mainly clear,10.20,0.00,17.90,0.00
2024-03-22,drizzle: moderate,11.70,0.80,15.50,0.00
2024-03-23,drizzle: light,10.70,0.10,11.30,0.00
2024-03-24,overcast,13.40,0.00,17.10,0.00
2024-03-25,overcast,16.00,0.00,26.50,0.00
2024-03-26,drizzle: dense intensity,14.50,1.50,14.30,0.00
2024-03-27,overcast,18.30,0.00,16.30,0.00
2024-03-28,overcast,18.80,0.00,17.10,0.00
2024-03-29,partly cloudy,18.70,0.00,9.90,0.00
2024-03-30,overcast,18.60,0.00,11.00,0.00
2024-03-31,overcast,18.60,0.00,11.20,0.00
2024-04-01,overcast,19.10,0.00,9.40,0.00
2024-04-02,overcast,21.60,0.00,14.50,0.00
2024-04-03,overcast,19.10,0.00,19.20,0.00
2024-04-04,overcast,18.90,0.00,15.00,0.00
2024-04-05,mainly clear,19.50,0.00,16.10,0.00
2024-04-06,overcast,19.80,0.00,17.90,0.00
2024-04-07,overcast,19.90,0.00,19.60,0.00
2024-04-08,mainly clear,16.60,0.00,23.30,0.00
2024-04-09,clear sky,17.60,0.00,16.90,0.00
2024-04-10,clear sky,18.80,0.00,16.20,0.00
2024-04-11,overcast,18.90,0.00,18.10,0.00
2024-04-12,clear sky,20.30,0.00,21.80,0.00
2024-04-13,clear sky,21.10,0.00,16.90,0.00
