Date,WMO name,maxTemp,rainSum,maxWindSpeed,snowFallSum
2024-01-01,overcast,3.20,0.00,14.30,0.00
2024-01-02,clear sky,-0.30,0.00,12.80,0.00
2024-01-03,overcast,1.30,0.00,14.40,0.00
2024-01-04,overcast,1.60,0.00,26.90,0.00
2024-01-05,overcast,-2.00,0.00,18.50,0.00
2024-01-06,snow fall: heavy intensity,-1.10,4.20,29.10,5.32
2024-01-07,snow fall: moderate,1.20,5.10,27.00,0.98
2024-01-08,mainly clear,1.10,0.00,20.10,0.00
2024-01-09,rain: moderate,3.70,38.00,57.30,0.00
2024-01-10,rain: heavy intensity,8.70,21.70,42.20,0.00
2024-01-11,overcast,4.20,0.00,22.90,0.00
2024-01-12,rain: moderate,3.90,4.00,28.50,0.00
2024-01-13,rain: moderate,8.60,19.70,34.20,0.00
2024-01-14,snow fall: slight,-0.30,0.10,36.40,0.28
2024-01-15,snow fall: moderate,-3.60,0.00,11.40,0.77
2024-01-16,snow fall: moderate,-3.10,4.20,23.20,3.50
2024-01-17,clear sky,-6.70,0.00,23.80,0.00
2024-01-18,snow fall: slight,-3.50,0.00,17.10,0.28
2024-01-19,snow fall: moderate,-2.80,0.00,16.60,1.89
2024-01-20,overcast,-6.50,0.00,26.20,0.00
2024-01-21,mainly clear,-5.10,0.00,23.60,0.00
2024-01-22,overcast,-2.50,0.00,18.80,0.00
2024-01-23,drizzle: moderate,0.90,1.70,18.70,0.00
2024-01-24,drizzle: light,2.80,3.50,10.50,0.00
2024-01-25,drizzle: dense intensity,8.70,5.40,21.20,0.00
2024-01-26,drizzle: moderate,5.80,4.50,15.70,0.00
2024-01-27,overcast,5.20,0.00,13.00,0.00
2024-01-28,rain: moderate,3.10,21.30,28.80,0.00
2024-01-29,drizzle: light,2.60,0.70,27.60,0.00
2024-01-30,overcast,0.30,0.00,12.10,0.00
2024-01-31,drizzle: light,1.80,0.20,11.20,0.00
2024-02-01,drizzle: light,2.30,0.60,19.80,0.00
2024-02-02,drizzle: dense intensity,3.50,6.30,22.70,0.00
2024-02-03,partly cloudy,0.80,0.00,24.20,0.00
2024-02-04,clear sky,0.70,0.00,14.80,0.00
2024-02-05,clear sky,0.70,0.00,28.20,0.00
2024-02-06,clear sky,-0.50,0.00,18.40,0.00
2024-02-07,partly cloudy,1.30,0.00,12.60,0.00
2024-02-08,overcast,2.10,0.00,10.50,0.00
2024-02-09,overcast,5.00,0.00,14.90,0.00
2024-02-10,drizzle: light,8.20,0.10,16.60,0.00
2024-02-11,overcast,6.50,0.00,15.60,0.00
2024-02-12,drizzle: light,3.70,0.10,11.60,0.00
2024-02-13,snow fall: heavy intensity,0.50,0.40,25.60,19.11
2024-02-14,partly cloudy,-2.20,0.00,25.70,0.00
2024-02-15,snow fall: slight,-1.10,0.00,22.00,0.14
2024-02-16,snow fall: slight,1.00,0.00,31.20,0.07
2024-02-17,snow fall: heavy intensity,-1.40,0.10,21.70,3.99
2024-02-18,clear sky,-2.00,0.00,29.40,0.00
2024-02-19,clear sky,-0.60,0.00,20.80,0.00
2024-02-20,mainly clear,-3.00,0.00,13.10,0.00
2024-02-21,overcast,-1.30,0.00,15.00,0.00
2024-02-22,drizzle: light,1.00,0.40,19.80,0.00
2024-02-23,drizzle: moderate,4.20,3.00,12.80,0.00
2024-02-24,overcast,1.80,0.00,21.40,0.00
2024-02-25,overcast,-2.40,0.00,16.20,0.00
2024-02-26,snow fall: heavy intensity,3.30,0.50,13.50,1.68
2024-02-27,rain: slight,7.80,4.00,26.10,0.00
2024-02-28,rain: moderate,13.20,15.60,34.20,0.00
2024-02-29,overcast,0.40,0.00,30.50,0.00
2024-03-01,overcast,0.70,0.00,20.30,0.00
2024-03-02,rain: moderate,6.70,28.10,26.50,0.00
2024-03-03,overcast,11.30,0.00,15.80,0.00
2024-03-04,overcast,7.80,0.00,21.80,0.00
2024-03-05,rain: moderate,6.40,20.30,20.10,0.00
2024-03-06,rain: heavy intensity,7.00,34.00,20.60,0.00
2024-03-07,drizzle: moderate,9.30,2.70,28.00,0.00
2024-03-08,overcast,5.80,0.00,20.00,0.00
